Date,Ticker,Tweet Count
12/2/2020,AAPL,2308
12/2/2020,AMZN,2284
12/2/2020,CRM,5654
12/2/2020,JPM,1397
12/2/2020,MSFT,1834
12/2/2020,PTON,535
12/2/2020,TSLA,6871
12/2/2020,ZM,21189
12/3/2020,AAPL,2055
12/3/2020,AMZN,1977
12/3/2020,CRM,4772
12/3/2020,JPM,1351
12/3/2020,MSFT,1799
12/3/2020,PTON,425
12/3/2020,TSLA,6578
12/3/2020,ZM,20387
12/4/2020,AAPL,1987
12/4/2020,AMZN,1857
12/4/2020,CRM,3983
12/4/2020,JPM,1359
12/4/2020,MSFT,1473
12/4/2020,PTON,317
12/4/2020,TSLA,4933
12/4/2020,ZM,19789
12/5/2020,AAPL,965
12/5/2020,AMZN,1109
12/5/2020,CRM,2843
12/5/2020,JPM,1166
12/5/2020,MSFT,1069
12/5/2020,PTON,215
12/5/2020,TSLA,3276
12/5/2020,ZM,20476
12/6/2020,AAPL,1078
12/6/2020,AMZN,1183
12/6/2020,CRM,2883
12/6/2020,JPM,1251
12/6/2020,MSFT,949
12/6/2020,PTON,230
12/6/2020,TSLA,3327
12/6/2020,ZM,22270
12/7/2020,AAPL,2331
12/7/2020,AMZN,1911
12/7/2020,CRM,3740
12/7/2020,JPM,1383
12/7/2020,MSFT,1651
12/7/2020,PTON,419
12/7/2020,TSLA,11038
12/7/2020,ZM,21736
12/8/2020,AAPL,3091
12/8/2020,AMZN,2208
12/8/2020,CRM,3423
12/8/2020,JPM,1513
12/8/2020,MSFT,1840
12/8/2020,PTON,798
12/8/2020,TSLA,11147
12/8/2020,ZM,22092
12/9/2020,AAPL,2749
12/9/2020,AMZN,2307
12/9/2020,CRM,3932
12/9/2020,JPM,2264
12/9/2020,MSFT,1743
12/9/2020,PTON,501
12/9/2020,TSLA,8766
12/9/2020,ZM,22415
12/10/2020,AAPL,1440
12/10/2020,AMZN,1502
12/10/2020,CRM,3004
12/10/2020,JPM,1181
12/10/2020,MSFT,974
12/10/2020,PTON,440
12/10/2020,TSLA,5742
12/10/2020,ZM,19680
